# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA	ALIGNMENT
#
1034	*bainan	*bainan	Proto-Germanic	284	b ai n	bainan	b ai n
1035	*bainan	Bein	German	284	b ai n	bain	b ai n
1036	*bainan	bone	English	284	b əʊ n	bəʊn	b əʊ n
1037	*bainan	been	Dutch	284	b eː n	beːn	b eː n
#
1428	*bakanan	*bakanan	Proto-Germanic	391	b a k a n	bakanan	b a k a n
1429	*bakanan	backen	German	391	b a k ə n	bakən	b a k ə n
1430	*bakanan	bake	English	391	b eɪ k	beɪk	b eɪ k - -
1431	*bakanan	bakken	Dutch	391	b ɑ k ə	bɑkə	b ɑ k ə -
#
802	*bakiz	*bakiz	Proto-Germanic	220	b a k	bakiz	b a k
803	*bakiz	Bach	German	220	b a x	bax	b a x
804	*bakiz	beek	Dutch	220	b eː k	beːk	b eː k
#
1685	*balgiz	*balgiz	Proto-Germanic	462	b a l g	balgiz	b a l - g
1686	*balgiz	Balg	German	462	b a l k	balk	b a l - k
1687	*balgiz	belly	English	462	b ɛ l ɪ	bɛlɪ	b ɛ l ɪ -
1688	*balgiz	balg	Dutch	462	b ɑ l x	bɑlx	b ɑ l - x
#
311	*balluz	*balluz	Proto-Germanic	87	b a ll	balluz	b a ll
312	*balluz	Ball	German	87	b a l	bal	b a l
313	*balluz	ball	English	87	b ɔː l	bɔːl	b ɔː l
314	*balluz	bal	Dutch	87	b ɑ l	bɑl	b ɑ l
#
1338	*bandan	*bandan	Proto-Germanic	367	b a n d	bandan	b a n d
1339	*bandan	Band	German	367	b a n t	bant	b a n t
1340	*bandan	band	Dutch	367	b ɛ n t	bɛnt	b ɛ n t
#
518	*bannan	*bannan	Proto-Germanic	142	b a nn	bannan	b a nn
519	*bannan	Bann	German	142	b a n	ban	b a n
520	*bannan	ban	English	142	b æ n	bæn	b æ n
521	*bannan	ban	Dutch	142	b ɑ n	bɑn	b ɑ n
#
1174	*bardaz	*bardaz	Proto-Germanic	322	b a r d	bardaz	b a r d
1175	*bardaz	Bart	German	322	b aː r t	baːrt	b aː r t
1176	*bardaz	beard	English	322	b ɪə d	bɪəd	b ɪə - d
1177	*bardaz	baard	Dutch	322	b aː r t	baːrt	b aː r t
#
469	*barwōn	*barwōn	Proto-Germanic	129	b a r w oː n	barwoːn	b a r w oː n
470	*barwōn	Bahre	German	129	b aː r ə	baːrə	b aː r - ə -
471	*barwōn	bier	English	129	b ɪə r	bɪər	b ɪə r - - -
472	*barwōn	baar	Dutch	129	b aː r	baːr	b aː r - - -
#
1178	*barzan	*barzan	Proto-Germanic	323	b a r z	barzan	b a r z
1179	*barzan	Barsch	German	323	b aː r ʃ	baːrʃ	b aː r ʃ
1180	*barzan	baars	Dutch	323	b aː r s	baːrs	b aː r s
#
1631	*bastan	*bastan	Proto-Germanic	448	b a s t	bastan	b a s t
1632	*bastan	Bast	German	448	b a s t	bast	b a s t
1633	*bastan	bast	English	448	b æ s t	bæst	b æ s t
1634	*bastan	bast	Dutch	448	b ɑ s t	bɑst	b ɑ s t
#
1295	*baugjanan	*baugjanan	Proto-Germanic	356	b au g j a n	baugjanan	b au g j a n
1296	*baugjanan	beugen	German	356	b ɔy ɡ ə n	bɔyɡən	b ɔy ɡ - ə n
1297	*baugjanan	bow	English	356	b əʊ	bəʊ	b əʊ - - - -
1298	*baugjanan	buigen	Dutch	356	b œy ɣ ə	bœyɣə	b œy ɣ - ə -
#
259	*bazjan	*bazjan	Proto-Germanic	72	b a z j	bazjan	b a z j
260	*bazjan	Beere	German	72	b eː r ə	beːrə	b eː r ə
261	*bazjan	berry	English	72	b ɛ r ɪ	bɛrɪ	b ɛ r ɪ
262	*bazjan	bes	Dutch	72	b ɛ s	bɛs	b ɛ s -
#
1310	*baθan	*baθan	Proto-Germanic	360	b a θ	baθan	b a θ
1311	*baθan	Bad	German	360	b aː t	baːt	b aː t
1312	*baθan	bath	English	360	b ɑː θ	bɑːθ	b ɑː θ
1313	*baθan	bad	Dutch	360	b ɑ t	bɑt	b ɑ t
#
1851	*bebruz	*bebruz	Proto-Germanic	508	b e b r	bebruz	b e b - r
1852	*bebruz	Biber	German	508	b iː b ə r	biːbər	b iː b ə r
1853	*bebruz	beaver	English	508	b iː v ə r	biːvər	b iː v ə r
1854	*bebruz	bever	Dutch	508	b eː v ə r	beːvər	b eː v ə r
#
581	*bendanan	*bendanan	Proto-Germanic	160	b e n d a n	bendanan	b e n d a n
582	*bendanan	binden	German	160	b ɪ n d ə n	bɪndən	b ɪ n d ə n
583	*bendanan	bind	English	160	b aɪ n d	baɪnd	b aɪ n d - -
584	*bendanan	binden	Dutch	160	b ɪ n d ə	bɪndə	b ɪ n d ə -
#
1916	*benutaz	*benutaz	Proto-Germanic	526	b e n u t	benutaz	b e n - u t
1917	*benutaz	Binse	German	526	b ɪ n z ə	bɪnzə	b ɪ n z ə -
1918	*benutaz	bies	Dutch	526	b iː s	biːs	b iː - s - -
#
218	*bergan	*bergan	Proto-Germanic	61	b e r g	bergan	b e r - g
219	*bergan	Berg	German	61	b ɛ r k	bɛrk	b ɛ r - k
220	*bergan	barrow	English	61	b æ r əʊ	bærəʊ	b æ r əʊ -
221	*bergan	berg	Dutch	61	b ɛ r x	bɛrx	b ɛ r - x
#
1532	*berganan	*berganan	Proto-Germanic	420	b e r g a n	berganan	b e r g a n
1533	*berganan	bergen	German	420	b ɛ r ɡ ə n	bɛrɡən	b ɛ r ɡ ə n
1534	*berganan	bergen	Dutch	420	b ɛ r ɣ ə	bɛrɣə	b ɛ r ɣ ə -
#
543	*beudanan	*beudanan	Proto-Germanic	149	b eu d a n	beudanan	b eu d a n
544	*beudanan	bieten	German	149	b iː t ə n	biːtən	b iː t ə n
545	*beudanan	bid	English	149	b ɪ d	bɪd	b ɪ d - -
546	*beudanan	bieden	Dutch	149	b iː d ə	biːdə	b iː d ə -
#
927	*beuganan	*beuganan	Proto-Germanic	255	b eu g a n	beuganan	b eu g a n
928	*beuganan	biegen	German	255	b iː ɡ ə n	biːɡən	b iː ɡ ə n
929	*beuganan	bow	English	255	b əʊ	bəʊ	b əʊ - - -
930	*beuganan	buigen	Dutch	255	b œy ɣ ə	bœyɣə	b œy ɣ ə -
#
1450	*bidjanan	*bidjanan	Proto-Germanic	397	b i d j a n	bidjanan	b i d j a n
1451	*bidjanan	bitten	German	397	b ɪ t ə n	bɪtən	b ɪ t - ə n
1452	*bidjanan	bid	English	397	b ɪ d	bɪd	b ɪ d - - -
1453	*bidjanan	bidden	Dutch	397	b ɪ d ə	bɪdə	b ɪ d - ə -
#
108	*bladan	*bladan	Proto-Germanic	31	b l a d	bladan	b l a d
109	*bladan	Blatt	German	31	b l a t	blat	b l a t
110	*bladan	blad	Dutch	31	b l ɑ t	blɑt	b l ɑ t
#
931	*blikan	*blikan	Proto-Germanic	256	b l i k	blikan	b l i k
932	*blikan	Blech	German	256	b l ɛ x	blɛx	b l ɛ x
933	*blikan	blik	Dutch	256	b l ɪ k	blɪk	b l ɪ k
#
853	*blōdan	*blōdan	Proto-Germanic	235	b l oː d	bloːdan	b l oː d
854	*blōdan	Blut	German	235	b l uː t	bluːt	b l uː t
855	*blōdan	blood	English	235	b l ʌ d	blʌd	b l ʌ d
856	*blōdan	bloed	Dutch	235	b l uː t	bluːt	b l uː t
#
795	*brandaz	*brandaz	Proto-Germanic	218	b r a n d	brandaz	b r a n d
796	*brandaz	Brand	German	218	b r a n t	brant	b r a n t
797	*brandaz	brand	English	218	b r æ n d	brænd	b r æ n d
798	*brandaz	brand	Dutch	218	b r ɑ n t	brɑnt	b r ɑ n t
#
1155	*braudan	*braudan	Proto-Germanic	317	b r au d	braudan	b r au d
1156	*braudan	Brot	German	317	b r oː t	broːt	b r oː t
1157	*braudan	bread	English	317	b r ɛ d	brɛd	b r ɛ d
1158	*braudan	brood	Dutch	317	b r oː t	broːt	b r oː t
#
500	*brekanan	*brekanan	Proto-Germanic	137	b r e k a n	brekanan	b r e k a n
501	*brekanan	brechen	German	137	b r ɛ x ə n	brɛxən	b r ɛ x ə n
502	*brekanan	break	English	137	b r eɪ k	breɪk	b r eɪ k - -
503	*brekanan	breken	Dutch	137	b r eː k ə	breːkə	b r eː k ə -
1513	*brekanan	*brekanan	Proto-Germanic	415	b r e k a n	brekanan	b r e k a n
1514	*brekanan	Bruch	German	415	b r ʊ x	brʊx	b r ʊ x - -
1515	*brekanan	breeches	English	415	b r ɪ ʧ ɪ z	brɪʧɪz	b r ɪ ʧ ɪ z
1516	*brekanan	broek	Dutch	415	b r uː k	bruːk	b r uː k - -
#
1649	*brenganan	*brenganan	Proto-Germanic	453	b r e n g a n	brenganan	b r e n g a n
1650	*brenganan	bringen	German	453	b r ɪ ŋ ə n	brɪŋən	b r ɪ ŋ - ə n
1651	*brenganan	bring	English	453	b r ɪ ŋ	brɪŋ	b r ɪ ŋ - - -
1652	*brenganan	brengen	Dutch	453	b r ɛ ŋ ə	brɛŋə	b r ɛ ŋ - ə -
#
154	*brunnōn	*brunnōn	Proto-Germanic	44	b r u nn oː n	brunnoːn	b r u nn oː n
155	*brunnōn	Brunnen	German	44	b r ʊ n ə n	brʊnən	b r ʊ n ə n
156	*brunnōn	bron	Dutch	44	b r ɔ n	brɔn	b r ɔ n - -
#
293	*brūdiz	*brūdiz	Proto-Germanic	82	b r uː d	bruːdiz	b r uː d
294	*brūdiz	Braut	German	82	b r au t	braut	b r au t
295	*brūdiz	bride	English	82	b r aɪ d	braɪd	b r aɪ d
296	*brūdiz	bruid	Dutch	82	b r œy t	brœyt	b r œy t
#
1133	*brūkanan	*brūkanan	Proto-Germanic	311	b r uː k a n	bruːkanan	- - b r uː k a n
1134	*brūkanan	brauchen	German	311	b r au x ə n	brauxən	- - b r au x ə n
1135	*brūkanan	brook	English	311	b r ʊ k	brʊk	- - b r ʊ k - -
1136	*brūkanan	gebruiken	Dutch	311	x ə b r œy k ə	xəbrœykə	x ə b r œy k ə -
#
815	*budmaz	*budmaz	Proto-Germanic	224	b u d m	budmaz	b u d - m
816	*budmaz	Boden	German	224	b oː d ə n	boːdən	b oː d ə n
817	*budmaz	bottom	English	224	b ɔ t ə m	bɔtəm	b ɔ t ə m
818	*budmaz	bodem	Dutch	224	b oː d ə m	boːdəm	b oː d ə m
#
1417	*bugōn	*bugōn	Proto-Germanic	388	b u g oː n	bugoːn	b u g oː n
1418	*bugōn	Bogen	German	388	b oː ɡ ə n	boːɡən	b oː ɡ ə n
1419	*bugōn	bow	English	388	b əʊ	bəʊ	b əʊ - - -
1420	*bugōn	boog	Dutch	388	b oː x	boːx	b oː x - -
#
31	*bukkaz	*bukkaz	Proto-Germanic	9	b u kk	bukkaz	b u kk
32	*bukkaz	Bock	German	9	b ɔ k	bɔk	b ɔ k
33	*bukkaz	buck	English	9	b ʌ k	bʌk	b ʌ k
34	*bukkaz	bok	Dutch	9	b ɔ k	bɔk	b ɔ k
#
1299	*burdan	*burdan	Proto-Germanic	357	b u r d	burdan	b u r d
1300	*burdan	Bord	German	357	b ɔ r t	bɔrt	b ɔ r t
1301	*burdan	board	English	357	b ɔː d	bɔːd	b ɔː - d
1302	*burdan	bord	Dutch	357	b ɔ r t	bɔrt	b ɔ r t
#
387	*burdiz	*burdiz	Proto-Germanic	107	b u r d	burdiz	- - b u r d -
388	*burdiz	Geburt	German	107	ɡ ə b uː r t	ɡəbuːrt	ɡ ə b uː r t -
389	*burdiz	birth	English	107	b ɜː θ	bɜːθ	- - b ɜː - θ -
390	*burdiz	geboorte	Dutch	107	x ə b oː r t ə	xəboːrtə	x ə b oː r t ə
#
