# Wordlist

# DATA
ID	DOCULECT	CONCEPT	COUNTERPART	IPA	TOKENS	COGID	ALIGNMENT
#
1034	Proto-Germanic	*bainan	*bainan	bainan	b ai n a n	284	b ai n a n
1035	German	*bainan	Bein	bain	b ai n	284	b ai - - n
1036	English	*bainan	bone	bəʊn	b əʊ n	284	b əʊ - - n
1037	Dutch	*bainan	been	beːn	b eː n	284	b eː - - n
#
1428	Proto-Germanic	*bakanan	*bakanan	bakanan	b a k a n a n	391	b a k a n a n
1429	German	*bakanan	backen	bakən	b a k ə n	391	b a k ə - - n
1430	English	*bakanan	bake	beɪk	b eɪ k	391	b eɪ k - - - -
1431	Dutch	*bakanan	bakken	bɑkə	b ɑ k ə	391	b ɑ k ə - - -
#
802	Proto-Germanic	*bakiz	*bakiz	bakiz	b a k i z	220	b a k i z
803	German	*bakiz	Bach	bax	b a x	220	b a x - -
804	Dutch	*bakiz	beek	beːk	b eː k	220	b eː k - -
#
1685	Proto-Germanic	*balgiz	*balgiz	balgiz	b a l g i z	462	b a l g i z
1686	German	*balgiz	Balg	balk	b a l k	462	b a l k - -
1687	English	*balgiz	belly	bɛlɪ	b ɛ l ɪ	462	b ɛ l - ɪ -
1688	Dutch	*balgiz	balg	bɑlx	b ɑ l x	462	b ɑ l x - -
#
311	Proto-Germanic	*balluz	*balluz	balluz	b a ll u z	87	b a ll u z
312	German	*balluz	Ball	bal	b a l	87	b a l - -
313	English	*balluz	ball	bɔːl	b ɔː l	87	b ɔː l - -
314	Dutch	*balluz	bal	bɑl	b ɑ l	87	b ɑ l - -
#
1338	Proto-Germanic	*bandan	*bandan	bandan	b a n d a n	367	b a n d a n
1339	German	*bandan	Band	bant	b a n t	367	b a n t - -
1340	Dutch	*bandan	band	bɛnt	b ɛ n t	367	b ɛ n t - -
#
518	Proto-Germanic	*bannan	*bannan	bannan	b a nn a n	142	b a nn a n
519	German	*bannan	Bann	ban	b a n	142	b a - - n
520	English	*bannan	ban	bæn	b æ n	142	b æ - - n
521	Dutch	*bannan	ban	bɑn	b ɑ n	142	b ɑ - - n
#
1174	Proto-Germanic	*bardaz	*bardaz	bardaz	b a r d a z	322	b a r d a z
1175	German	*bardaz	Bart	baːrt	b aː r t	322	b aː r t - -
1176	English	*bardaz	beard	bɪəd	b ɪə d	322	b ɪə - d - -
1177	Dutch	*bardaz	baard	baːrt	b aː r t	322	b aː r t - -
#
469	Proto-Germanic	*barwōn	*barwōn	barwoːn	b a r w oː n	129	b a r w oː n
470	German	*barwōn	Bahre	baːrə	b aː r ə	129	b aː r - ə -
471	English	*barwōn	bier	bɪər	b ɪə r	129	b ɪə r - - -
472	Dutch	*barwōn	baar	baːr	b aː r	129	b aː r - - -
#
1178	Proto-Germanic	*barzan	*barzan	barzan	b a r z a n	323	b a r z a n
1179	German	*barzan	Barsch	baːrʃ	b aː r ʃ	323	b aː r ʃ - -
1180	Dutch	*barzan	baars	baːrs	b aː r s	323	b aː r s - -
#
1631	Proto-Germanic	*bastan	*bastan	bastan	b a s t a n	448	b a s t a n
1632	German	*bastan	Bast	bast	b a s t	448	b a s t - -
1633	English	*bastan	bast	bæst	b æ s t	448	b æ s t - -
1634	Dutch	*bastan	bast	bɑst	b ɑ s t	448	b ɑ s t - -
#
1295	Proto-Germanic	*baugjanan	*baugjanan	baugjanan	b au g j a n a n	356	b au g j a n a n
1296	German	*baugjanan	beugen	bɔyɡən	b ɔy ɡ ə n	356	b ɔy ɡ - - - ə n
1297	English	*baugjanan	bow	bəʊ	b əʊ	356	b əʊ - - - - - -
1298	Dutch	*baugjanan	buigen	bœyɣə	b œy ɣ ə	356	b œy ɣ - - - ə -
#
259	Proto-Germanic	*bazjan	*bazjan	bazjan	b a z j a n	72	b a z j a n
260	German	*bazjan	Beere	beːrə	b eː r ə	72	b eː r - ə -
261	English	*bazjan	berry	bɛrɪ	b ɛ r ɪ	72	b ɛ r - ɪ -
262	Dutch	*bazjan	bes	bɛs	b ɛ s	72	b ɛ s - - -
#
1310	Proto-Germanic	*baθan	*baθan	baθan	b a θ a n	360	b a θ a n
1311	German	*baθan	Bad	baːt	b aː t	360	b aː t - -
1312	English	*baθan	bath	bɑːθ	b ɑː θ	360	b ɑː θ - -
1313	Dutch	*baθan	bad	bɑt	b ɑ t	360	b ɑ t - -
#
1851	Proto-Germanic	*bebruz	*bebruz	bebruz	b e b r u z	508	b e b r u z
1852	German	*bebruz	Biber	biːbər	b iː b ə r	508	b iː b - ə r
1853	English	*bebruz	beaver	biːvər	b iː v ə r	508	b iː v - ə r
1854	Dutch	*bebruz	bever	beːvər	b eː v ə r	508	b eː v - ə r
#
581	Proto-Germanic	*bendanan	*bendanan	bendanan	b e n d a n a n	160	b e n d a n a n
582	German	*bendanan	binden	bɪndən	b ɪ n d ə n	160	b ɪ n d ə - - n
583	English	*bendanan	bind	baɪnd	b aɪ n d	160	b aɪ n d - - - -
584	Dutch	*bendanan	binden	bɪndə	b ɪ n d ə	160	b ɪ n d ə - - -
#
1916	Proto-Germanic	*benutaz	*benutaz	benutaz	b e n u t a z	526	b e n u t a z -
1917	German	*benutaz	Binse	bɪnzə	b ɪ n z ə	526	b ɪ n - - - z ə
1918	Dutch	*benutaz	bies	biːs	b iː s	526	b iː - - - - s -
#
218	Proto-Germanic	*bergan	*bergan	bergan	b e r g a n	61	b e r g a n
219	German	*bergan	Berg	bɛrk	b ɛ r k	61	b ɛ r k - -
220	English	*bergan	barrow	bærəʊ	b æ r əʊ	61	b æ r - əʊ -
221	Dutch	*bergan	berg	bɛrx	b ɛ r x	61	b ɛ r x - -
#
1532	Proto-Germanic	*berganan	*berganan	berganan	b e r g a n a n	420	b e r g a n a n
1533	German	*berganan	bergen	bɛrɡən	b ɛ r ɡ ə n	420	b ɛ r ɡ ə - - n
1534	Dutch	*berganan	bergen	bɛrɣə	b ɛ r ɣ ə	420	b ɛ r ɣ ə - - -
#
543	Proto-Germanic	*beudanan	*beudanan	beudanan	b eu d a n a n	149	b eu d a n a n
544	German	*beudanan	bieten	biːtən	b iː t ə n	149	b iː t ə - - n
545	English	*beudanan	bid	bɪd	b ɪ d	149	b ɪ d - - - -
546	Dutch	*beudanan	bieden	biːdə	b iː d ə	149	b iː d ə - - -
#
927	Proto-Germanic	*beuganan	*beuganan	beuganan	b eu g a n a n	255	b eu g a n a n
928	German	*beuganan	biegen	biːɡən	b iː ɡ ə n	255	b iː ɡ ə - - n
929	English	*beuganan	bow	bəʊ	b əʊ	255	b əʊ - - - - -
930	Dutch	*beuganan	buigen	bœyɣə	b œy ɣ ə	255	b œy ɣ ə - - -
#
1450	Proto-Germanic	*bidjanan	*bidjanan	bidjanan	b i d j a n a n	397	b i d j a n a n
1451	German	*bidjanan	bitten	bɪtən	b ɪ t ə n	397	b ɪ t - - - ə n
1452	English	*bidjanan	bid	bɪd	b ɪ d	397	b ɪ d - - - - -
1453	Dutch	*bidjanan	bidden	bɪdə	b ɪ d ə	397	b ɪ d - - - ə -
#
108	Proto-Germanic	*bladan	*bladan	bladan	b l a d a n	31	b l a d a n
109	German	*bladan	Blatt	blat	b l a t	31	b l a t - -
110	Dutch	*bladan	blad	blɑt	b l ɑ t	31	b l ɑ t - -
#
931	Proto-Germanic	*blikan	*blikan	blikan	b l i k a n	256	b l i k a n
932	German	*blikan	Blech	blɛx	b l ɛ x	256	b l ɛ x - -
933	Dutch	*blikan	blik	blɪk	b l ɪ k	256	b l ɪ k - -
#
853	Proto-Germanic	*blōdan	*blōdan	bloːdan	b l oː d a n	235	b l oː d a n
854	German	*blōdan	Blut	bluːt	b l uː t	235	b l uː t - -
855	English	*blōdan	blood	blʌd	b l ʌ d	235	b l ʌ d - -
856	Dutch	*blōdan	bloed	bluːt	b l uː t	235	b l uː t - -
#
795	Proto-Germanic	*brandaz	*brandaz	brandaz	b r a n d a z	218	b r a n d a z
796	German	*brandaz	Brand	brant	b r a n t	218	b r a n t - -
797	English	*brandaz	brand	brænd	b r æ n d	218	b r æ n d - -
798	Dutch	*brandaz	brand	brɑnt	b r ɑ n t	218	b r ɑ n t - -
#
1155	Proto-Germanic	*braudan	*braudan	braudan	b r au d a n	317	b r au d a n
1156	German	*braudan	Brot	broːt	b r oː t	317	b r oː t - -
1157	English	*braudan	bread	brɛd	b r ɛ d	317	b r ɛ d - -
1158	Dutch	*braudan	brood	broːt	b r oː t	317	b r oː t - -
#
500	Proto-Germanic	*brekanan	*brekanan	brekanan	b r e k a n a n	137	b r e k a n a n
501	German	*brekanan	brechen	brɛxən	b r ɛ x ə n	137	b r ɛ x ə - - n
