# Wordlist

# DATA
ID	CONCEPT	TOKENS	IPA	DOCULECT	COUNTERPART	COGID
#
1034	*bainan	b ai n	bainan	Proto-Germanic	*bainan	284
1035	*bainan	b ai n	bain	German	Bein	284
1036	*bainan	b əʊ n	bəʊn	English	bone	284
1037	*bainan	b eː n	beːn	Dutch	been	284
#
1428	*bakanan	b a k a n	bakanan	Proto-Germanic	*bakanan	391
1429	*bakanan	b a k ə n	bakən	German	backen	391
1430	*bakanan	b eɪ k	beɪk	English	bake	391
1431	*bakanan	b ɑ k ə	bɑkə	Dutch	bakken	391
#
802	*bakiz	b a k i z	bakiz	Proto-Germanic	*bakiz	220
803	*bakiz	b a x	bax	German	Bach	220
804	*bakiz	b eː k	beːk	Dutch	beek	220
#
1685	*balgiz	b a l g i z	balgiz	Proto-Germanic	*balgiz	462
1686	*balgiz	b a l k	balk	German	Balg	462
1687	*balgiz	b ɛ l ɪ	bɛlɪ	English	belly	462
1688	*balgiz	b ɑ l x	bɑlx	Dutch	balg	462
#
311	*balluz	b a ll u z	balluz	Proto-Germanic	*balluz	87
312	*balluz	b a l	bal	German	Ball	87
313	*balluz	b ɔː l	bɔːl	English	ball	87
314	*balluz	b ɑ l	bɑl	Dutch	bal	87
#
1338	*bandan	b a n d	bandan	Proto-Germanic	*bandan	367
1339	*bandan	b a n t	bant	German	Band	367
1340	*bandan	b ɛ n t	bɛnt	Dutch	band	367
#
518	*bannan	b a nn	bannan	Proto-Germanic	*bannan	142
519	*bannan	b a n	ban	German	Bann	142
520	*bannan	b æ n	bæn	English	ban	142
521	*bannan	b ɑ n	bɑn	Dutch	ban	142
#
1174	*bardaz	b a r d a z	bardaz	Proto-Germanic	*bardaz	322
1175	*bardaz	b aː r t	baːrt	German	Bart	322
1176	*bardaz	b ɪə d	bɪəd	English	beard	322
1177	*bardaz	b aː r t	baːrt	Dutch	baard	322
#
469	*barwōn	b a r w oː n	barwoːn	Proto-Germanic	*barwōn	129
470	*barwōn	b aː r ə	baːrə	German	Bahre	129
471	*barwōn	b ɪə r	bɪər	English	bier	129
472	*barwōn	b aː r	baːr	Dutch	baar	129
#
1178	*barzan	b a r z	barzan	Proto-Germanic	*barzan	323
1179	*barzan	b aː r ʃ	baːrʃ	German	Barsch	323
1180	*barzan	b aː r s	baːrs	Dutch	baars	323
#
1631	*bastan	b a s t	bastan	Proto-Germanic	*bastan	448
1632	*bastan	b a s t	bast	German	Bast	448
1633	*bastan	b æ s t	bæst	English	bast	448
1634	*bastan	b ɑ s t	bɑst	Dutch	bast	448
#
1295	*baugjanan	b au g j a n	baugjanan	Proto-Germanic	*baugjanan	356
1296	*baugjanan	b ɔy ɡ ə n	bɔyɡən	German	beugen	356
1297	*baugjanan	b əʊ	bəʊ	English	bow	356
1298	*baugjanan	b œy ɣ ə	bœyɣə	Dutch	buigen	356
#
259	*bazjan	b a z j	bazjan	Proto-Germanic	*bazjan	72
260	*bazjan	b eː r ə	beːrə	German	Beere	72
261	*bazjan	b ɛ r ɪ	bɛrɪ	English	berry	72
262	*bazjan	b ɛ s	bɛs	Dutch	bes	72
#
1310	*baθan	b a θ	baθan	Proto-Germanic	*baθan	360
1311	*baθan	b aː t	baːt	German	Bad	360
1312	*baθan	b ɑː θ	bɑːθ	English	bath	360
1313	*baθan	b ɑ t	bɑt	Dutch	bad	360
#
1851	*bebruz	b e b r u z	bebruz	Proto-Germanic	*bebruz	508
1852	*bebruz	b iː b ə r	biːbər	German	Biber	508
1853	*bebruz	b iː v ə r	biːvər	English	beaver	508
1854	*bebruz	b eː v ə r	beːvər	Dutch	bever	508
#
581	*bendanan	b e n d a n	bendanan	Proto-Germanic	*bendanan	160
582	*bendanan	b ɪ n d ə n	bɪndən	German	binden	160
583	*bendanan	b aɪ n d	baɪnd	English	bind	160
584	*bendanan	b ɪ n d ə	bɪndə	Dutch	binden	160
#
1916	*benutaz	b e n u t a z	benutaz	Proto-Germanic	*benutaz	526
1917	*benutaz	b ɪ n z ə	bɪnzə	German	Binse	526
1918	*benutaz	b iː s	biːs	Dutch	bies	526
#
218	*bergan	b e r g	bergan	Proto-Germanic	*bergan	61
219	*bergan	b ɛ r k	bɛrk	German	Berg	61
220	*bergan	b æ r əʊ	bærəʊ	English	barrow	61
221	*bergan	b ɛ r x	bɛrx	Dutch	berg	61
#
1532	*berganan	b e r g a n	berganan	Proto-Germanic	*berganan	420
1533	*berganan	b ɛ r ɡ ə n	bɛrɡən	German	bergen	420
